ACAO,CORPO,MENTE,VIDA,LIBERDADE,PROPOSITO
Esquecer as chaves de casa pelo lado de dentro frequentemente,3,3,4,4,3
Criar um porta-chaves próximo à porta para nunca esquecer,6,8,6,6,7
Passar horas montando looks no Pinterest e sair sempre com a mesma roupa,5,6,5,6,5
Comprar uma peça de roupa de grife e ficar com medo de usar,4,4,4,4,4
Doar o troco do pedágio para a campanha da estrada,5,7,8,6,7
Acelerar para passar no semáforo amarelo correndo risco,3,2,2,5,2
Parar com tranquilidade no semáforo amarelo,6,8,8,6,7
Rezar no trânsito para não chegar atrasado,5,5,5,5,5
Passear com o cachorro duas vezes ao dia religiosamente,8,9,8,6,8
Trancar o cachorro no quintal sem interagir o dia todo,3,2,1,5,1
Levar o gato ao veterinário anualmente para check-up,5,8,7,6,8
Dar comida super premium para o pet e comer miojo,4,7,6,6,7
Doar pacotes de ração para ONGs de proteção animal,5,9,9,6,10
Adotar um animal idoso em um abrigo,6,9,10,5,10
Comprar cachorro de raça de canil clandestino,4,2,2,4,2
Denunciar vizinho por maus-tratos a animais,5,8,9,6,9
Fazer carinho em cavalo de carroça e tentar aliviar a carga,5,8,9,5,8
Ser voluntário para limpar canis aos finais de semana,6,9,10,5,10
Ensinar truques novos ao cachorro com reforço positivo,6,9,8,6,8
Bater no cachorro com jornal enrolado para educar (Agressão),3,1,1,4,1
Recolher lixo da praça do bairro sozinho num domingo,7,9,9,6,9
Plantar mudas de árvores frutíferas em espaços públicos,7,9,10,6,10
Participar de protestos pacíficos por direitos civis,5,8,8,9,9
Quebrar vidraças durante um protesto (Vandalismo),4,2,2,4,2
Assinar petições online acreditando que vão mudar o mundo,5,6,6,6,6
Ligar para deputados para cobrar votos em projetos de lei,5,8,8,8,8
Trabalhar como mesário voluntário nas eleições,5,8,8,6,8
Justificar o voto porque estava com preguiça de sair de casa,5,4,4,6,4
Ajudar a pintar a escola pública do bairro no fim de semana,6,9,9,6,9
Doar livros antigos para a biblioteca da cidade,5,9,9,6,9
Criar uma "geladeira solidária" no bairro,5,9,10,6,10
Ajudar pessoas em situação de enchente ou desastres naturais,6,10,10,6,10
Ficar no sofá reclamando do governo no Twitter durante uma tragédia,4,3,3,5,3
Comprar roupas e cobertores novos para doar no frio,5,9,9,6,9
Doar roupas furadas e sujas achando que "é melhor que nada",4,3,2,5,3
Resgatar um pássaro machucado na rua e cuidar dele,6,9,9,6,9
Caçar passarinhos com estilingue (Crueldade infantil/adulta),3,1,1,4,1
Pescar esportivamente (Pesque e Solte),6,7,6,6,6
Pescar para alimentar a família,8,7,8,6,8
Destruir formigueiros sem motivo algum,4,2,2,4,2
Estudar entomologia por curiosidade (Estudo de insetos),5,9,6,6,7
Fazer observação de abelhas no parque,6,9,6,6,7
Comprar mel de produtores locais artesanais,6,8,8,6,7
Boicotar o comércio local para comprar mais barato em mega corporações,5,4,3,5,4
Priorizar comprar na mercearia do seu bairro para ajudar a economia local,5,8,8,6,8
Cumprimentar pessoas desconhecidas no elevador,5,8,8,6,7
Ajudar vizinho a carregar compras pesadas,6,9,9,6,8
Fazer bolo e levar um pedaço para o novo vizinho,5,9,9,6,8
Ignorar o vizinho pedindo ajuda com o carro quebrado,4,3,2,5,3
Dar chupeta no carro do vizinho (Fazer a ponte da bateria),6,8,9,6,8
Ceder a vaga no estacionamento para alguém apressado,5,8,8,5,7
Gritar e brigar por uma vaga de estacionamento de shopping,3,2,2,4,2
Caminhar à noite pelo bairro para melhorar a segurança (Vigilância solidária),6,8,8,6,8
Criar um grupo de WhatsApp da rua para emergências,5,8,8,6,8
Sair do grupo do condomínio por excesso de fofoca,5,8,6,7,6
Vigiar a casa do vizinho pelo buraco da fechadura (Invasão de privacidade),4,2,2,4,2
Ensinar o porteiro do prédio a usar o computador,5,9,10,6,9
Ler o jornal impresso na praça e deixar no banco para o próximo,5,8,7,6,7
Escrever cartas à mão e enviar pelo correio para amigos distantes,5,9,8,6,8
Enviar áudios de bom dia em grupos de família todos os dias,5,6,6,5,6
Corrigir fake news no grupo da família com educação,5,8,7,6,7
Sair do grupo da família após briga política,5,6,5,7,6
Defender a família de ataques injustos publicamente,6,9,9,7,9
Ocultar o relacionamento amoroso da família por medo de julgamento,4,3,4,4,3
Assumir o parceiro para a família de peito aberto,6,9,9,8,9
Ir jantar na casa da sogra e lavar a louça toda,6,9,9,6,8
Criticar a comida da sogra em voz alta,3,1,1,4,1
Dormir no sofá na primeira visita à casa dos sogros,4,4,4,5,4
Dar presentes caros para as crianças da família no Natal para exibir-se,4,3,3,4,3
Brincar de esconde-esconde com os sobrinhos no quintal,7,9,9,6,8
Ignorar os sobrinhos o evento todo mexendo no celular,4,3,3,5,3
Dar conselhos amorosos para adolescentes da família com empatia,5,9,9,6,9
Rir dos problemas adolescentes achando "bobeira",4,2,2,4,2
Ensinar o filho a andar de bicicleta caindo junto com ele,8,9,10,6,9
Colocar rodinhas na bicicleta do filho e nunca tirar por superproteção,4,3,4,4,3
Apoiar o filho quando ele decide trocar de curso na faculdade,6,10,9,7,9
Obrigar o filho a fazer Medicina/Direito contra a vontade dele,3,2,2,2,2
Cobrar aluguel do filho que já trabalha e mora em casa,5,8,7,6,7
Mimar filhos adultos pagando todas as contas deles,3,2,3,3,3
Deixar de trabalhar para cuidar de um filho com necessidades especiais,4,8,8,4,10
Contratar cuidadores profissionais para não sobrecarregar a família,6,8,7,7,8
Organizar uma viagem em família para a praia alugando uma van,6,8,9,6,8
Brigar o caminho todo na viagem de família,3,2,2,4,2
Cantar músicas dos anos 90 no carro com a família em viagem,6,9,9,6,8
Jogar Uno e destruir amizades por causa de +4,5,6,5,5,5
Jogar banco imobiliário e não aceitar perder,4,3,3,4,3
Fazer campeonato de videogame na sala com a família toda,6,8,8,6,7
Fazer churrasco no domingo e convidar todo o bairro,6,8,8,6,7
Tocar música alta no churrasco atrapalhando quem quer dormir,3,2,2,4,2
Limpar a churrasqueira no dia seguinte,6,7,6,6,6
Guardar a carne que sobrou do churrasco no freezer para a semana,6,8,7,6,7
Comprar pão de alho a mais e dividir com o porteiro,6,8,9,6,8
Chamar vizinhos para consertar telhado em esquema de mutirão,7,8,9,6,9
Tomar tereré ou chimarrão na calçada no fim de tarde,6,8,8,6,7
Criticar as fofoqueiras da rua enquanto fofoca sobre elas,4,3,3,5,3
Desviar de brigas de rua,5,8,7,8,7
Chamar ambulância ao ver alguém desmaiado na rua,6,9,10,6,10
Dar água para operários trabalhando na rua sob sol quente,6,9,9,6,9
Parar no pedágio e pagar para o carro de trás (Pay it forward),5,9,9,5,8
Escrever um artigo científico para publicação,4,9,8,7,9
Pagar alguém para escrever o TCC (Falsidade Ideológica),4,2,2,4,2
Defender o TCC nervoso, mas honesto,4,8,8,7,8
Entrar em uma aula da faculdade que não é sua só por curiosidade,5,8,7,6,7
Dormir na aula com os olhos abertos (Fingindo atenção),4,3,4,4,3
Gravar a aula inteira do professor e nunca ouvir,4,4,4,5,4
Participar de grupo de pesquisa universitário,5,9,8,7,9
Deixar todo o trabalho em grupo para uma pessoa fazer,4,2,2,4,2
Assumir a liderança no trabalho em grupo e dividir tarefas,5,9,9,7,8
Desaparecer no dia da apresentação do trabalho em grupo,4,1,1,4,1
Ir para a biblioteca estudar e passar o dia no celular,4,3,4,4,3
Fazer mapas mentais coloridos para entender matéria complexa,5,9,7,7,8
Comprar dezenas de canetas coloridas e não usar,4,4,4,4,4
Grifar o livro inteiro de marca-texto amarelo,4,4,4,5,4
Ler a bibliografia complementar do curso,5,9,8,7,8
Debater respeitosamente com o professor sobre um autor,5,9,8,7,8
Zombar do colega que faz perguntas "bobas" na aula,4,2,2,4,2
Ajudar o colega que tem dificuldade na matéria,5,9,9,6,9
Fazer anotações no caderno à mão em vez de usar notebook,5,8,7,6,7
Perder o pen-drive com todos os arquivos da faculdade,3,2,3,4,3
Guardar documentos acadêmicos em 3 nuvens diferentes,5,8,6,7,7
Ir a feiras de ciências locais prestigiar crianças,5,8,8,6,7
Aprender um instrumento muito raro (Ex: Teremim),5,9,7,6,8
Ouvir rádio AM buscando estações de outros países à noite,5,8,6,6,7
Praticar beatbox no chuveiro,5,8,6,6,6
Fazer coleção de caixas de fósforo de motéis/restaurantes,5,6,5,5,5
Procurar discos voadores com telescópio,5,7,6,6,6
Construir foguetes de garrafa pet com os filhos,6,8,9,6,8
Entrar em clube do livro focado em literatura russa,5,10,8,6,8
Ler apenas biografias de bilionários buscando "o segredo",4,4,5,5,4
Adotar o estilo Steampunk no guarda-roupa diário,5,8,6,8,7
Comprar um projetor e assistir filmes na parede de casa,5,8,6,6,7
Fazer pipoca na panela em vez de micro-ondas,6,8,6,6,6
Comer pipoca no cinema e jogar no chão,4,2,2,4,2
Limpar o próprio lixo no cinema antes de sair,5,8,8,6,8
Derrubar café na própria camisa antes de uma reunião importante,4,3,3,4,3
Rir de si mesmo quando derrama café na camisa,6,9,8,7,8
Sentir o cheiro de livro novo antes de ler,5,9,6,6,7
Escrever dedicatórias em livros antes de dar de presente,5,9,9,6,8
Emprestar um livro e cobrar devolução 3 anos depois,4,5,5,5,4
Não devolver um livro emprestado,4,2,3,4,2
Visitar bazares beneficentes atrás de roupas vintage,6,8,8,6,8
Comprar roupas e esquecer na sacola por semanas,4,3,4,4,3
Lavar as cortinas da casa (Ação rara para muitos),6,8,7,6,7
Trocar a resistência do ferro de passar roupas,6,8,6,6,6
Costurar o botão que caiu da camisa em vez de jogar fora,6,8,6,6,7
Usar cola quente para consertar sapatos (Gambiarra),5,6,5,6,5
Chamar um sapateiro para consertar botas de couro de qualidade,5,8,6,7,7
Limpar moedas antigas com ketchup,5,6,5,6,5
Desinfetar as chaves e o celular ao chegar da rua,6,8,6,6,6
Não limpar a tela do celular por anos,3,3,4,4,3
Deixar o fone de ouvido embolar no bolso,4,3,4,4,3
Usar organizadores de fios para a mesa do PC,5,8,6,6,6
Colocar o teclado do PC na máquina de lavar louça (Erro técnico),2,2,3,4,2
Passar ar comprimido no teclado para limpar sujeira,6,8,6,6,6
Vender hardware antigo e obsoleto achando que vale muito,4,4,5,5,4
Doar computadores antigos para escolas públicas,5,8,9,6,9
Jogar lixo eletrônico (pilhas e baterias) no lixo comum,2,2,2,4,2
Levar lixo eletrônico para postos de reciclagem adequados,6,8,9,6,8
Assinar a revista National Geographic e guardar todas,5,8,6,5,7
Gostar de documentários narrados por David Attenborough,5,9,6,6,7
Aprender a reconhecer cantos de pássaros diferentes,5,9,6,6,7
Fazer casinhas de passarinho com madeira reciclada,6,8,8,6,8
Instalar comedouros para beija-flores na varanda,6,8,8,6,8
Comprar binóculos de teatro (Lorgnette) para usar em peças,5,7,6,6,6
Vaiar o ator que esqueceu a fala no palco,3,2,2,4,2
Aplaudir para incentivar o ator que errou a fala,6,9,9,6,9
Pichar banheiro público de restaurante,3,1,1,4,1
Limpar o assento do banheiro público antes de usar,6,7,6,6,6
Lavar o banheiro de casa ouvindo podcast,7,8,6,6,7
Deixar fios de cabelo no ralo do chuveiro,4,3,3,5,3
Limpar os fios de cabelo do ralo após o banho,6,8,7,6,7
Encher a banheira com sais de banho relaxantes,7,9,6,6,7
Passar muito perfume antes de entrar no elevador,4,3,3,5,3
Usar desodorante com cheiro neutro no trabalho,6,8,7,6,6
Rir em funerais (Riso nervoso),4,4,4,5,4
Oferecer lenços de papel para desconhecidos chorando no ônibus,6,9,10,6,9
Chamar a atenção de alguém que foi rude com idoso,6,9,9,6,9
Deixar idoso carregar sacolas pesadas escada acima,4,2,2,5,2
Ajudar desconhecida a carregar carrinho de bebê na escadaria,6,9,10,6,9
Abrir a porta do carro para a parceira num gesto de gentileza,5,8,8,6,7
Espirrar na própria mão em vez de usar o braço/lenço,3,3,3,5,3
Usar álcool em gel logo após tocar em barras de metrô,6,8,6,6,6
Puxar o freio de emergência do trem sem motivo (Vandalismo),2,1,1,3,1
Denunciar abusador no transporte público,6,10,9,7,10
Ignorar assédio ocorrendo ao seu lado por medo,3,3,3,4,3
Chamar uma amiga para fingir ser namorada de quem sofre assédio (Para despistar),6,9,10,6,10
Acompanhar até o carro uma colega que sai tarde do trabalho,6,9,9,6,9
Ligar para avisar que chegou bem em casa,5,8,8,6,8
Mandar uma foto da placa do Uber para parentes por segurança,5,8,8,6,7
Fazer piadas de duplo sentido em reuniões corporativas (Inadequado),3,2,2,4,2
Separar brigas de trânsito pedindo calma aos motoristas,6,8,8,6,8
Ser flagrado cantando no carro e sorrir de volta,6,9,8,7,8
Disfarçar bocejo na aula/reunião cobrindo a boca,5,8,7,6,7
Bocejar alto sem cobrir a boca espalhando germes,3,3,3,4,3
Estourar plástico bolha para desestressar,6,8,6,6,6
Usar bolas de ginástica (Pilates) como cadeira no escritório,8,8,6,6,7
Brincar com ioiô no intervalo do trabalho,6,8,6,6,6
Fazer campeonato de avião de papel com filhos,6,8,9,6,8
Andar de patinete elétrico na contramão da ciclovia,3,2,2,4,2
Ceder o patinete elétrico alugado para alguém que está atrasado,5,8,8,5,7
Estacionar o patinete no meio da calçada bloqueando a passagem,4,2,2,4,2
Pagar um café para o colega que esqueceu a carteira,5,8,8,6,8
Dividir o guarda-chuva com um estranho no ponto de ônibus,6,9,9,6,9
Jogar água nos pedestres ao passar com o carro numa poça,3,1,1,4,1
Reduzir a velocidade do carro ao passar perto de poças d'água,6,8,8,6,8
Dar bom dia ao motorista de ônibus todos os dias,6,8,8,6,8
Aprender a fazer pão artesanal e dar de presente,6,9,9,6,8
Experimentar carne cultivada em laboratório por curiosidade,6,8,7,7,7
Ser vegano estrito e respeitar quem come carne na mesma mesa,7,9,8,7,9
Ser vegano e militar agressivamente durante o jantar alheio,4,3,3,4,3
Montar uma horta comunitária em um terreno abandonado,8,10,10,6,10
Pichar o muro da horta comunitária recém-pintado,3,1,1,3,1
Limpar a pichação do muro no dia seguinte voluntariamente,7,9,10,6,9
Entregar um currículo impresso diretamente para o dono da loja,5,8,8,6,8
Enviar 500 currículos automatizados por IA sem ler as vagas,4,4,5,5,4
Ligar para a própria avó no domingo à tarde,5,9,9,6,9
Deixar a avó falando sozinha no telefone enquanto assiste TV,3,2,2,4,2
Participar de um mutirão de doação de medula óssea,6,9,10,6,10
Ser doador regular de plaquetas no hemocentro,8,9,10,6,10
Inventar mentiras no Twitter para ganhar engajamento,3,1,1,4,1
Apagar um post com informações erradas e pedir desculpas públicas,6,9,8,8,9
Comprar um produto pirata sabendo que financia o crime,3,2,2,4,2
Economizar para comprar a versão original de um produto,5,8,7,8,7
Ler o rótulo de todos os alimentos antes de comprar,8,8,6,7,7
Comprar apenas alimentos com personagens coloridos na embalagem,3,4,4,5,3
Deixar o filho escolher um doce no supermercado como recompensa,5,7,7,5,7
Usar a criança para passar na frente na fila do banco,3,2,1,4,2
Ter paciência na fila do banco e ler um livro no celular,6,9,7,6,8
Gritar com o atendente do banco porque o sistema caiu,3,2,1,4,1
Esperar a chuva passar abrigado numa marquise conversando,6,8,7,6,7
Correr na chuva de terno e chegar encharcado no trabalho,5,4,4,5,4
Ter um guarda-chuva reserva no escritório,6,8,7,7,7
Colocar papel no vidro do carro para o sol não esquentar,5,7,6,6,6
Ligar o ar-condicionado no 16 graus e dormir de cobertor grosso,4,4,3,5,4
Configurar o ar-condicionado no 23 graus para economizar energia,6,8,7,7,7
Comprar roupas de inverno no verão porque é mais barato,6,8,7,8,7
Usar sandálias com meia branca no supermercado (Estilo despojado),6,7,6,8,6
Rir de pessoas vestidas de forma peculiar na rua,4,2,2,4,2
Elogiar o estilo autêntico de um desconhecido,6,9,8,6,8
Usar chapéu de sol na praia para proteger o rosto,8,8,6,7,7
Passar bronzeador com óleo de avião e queimar a pele,2,2,3,4,2
Recolher lixo da areia da praia antes de ir embora,7,9,10,6,9
Enterrar lixo na areia da praia achando que vai sumir,2,1,1,3,1
Doar o cabelo cortado para ONGs que fazem perucas para câncer,6,9,10,6,10
Raspar o cabelo e guardar numa gaveta sem motivo,5,6,5,6,5
Pintar o cabelo de rosa choque para expressar a personalidade,6,9,7,8,8
Esconder as tatuagens no ambiente de trabalho por medo,4,3,4,4,3
Trabalhar num ambiente que aceita tatuagens e diversidade,6,9,8,9,8
Denunciar ambiente de trabalho tóxico no Ministério Público,6,9,9,8,9
Processar o ex-chefe por direitos trabalhistas justos,5,9,8,8,8
Fazer processo trabalhista falso para arrancar dinheiro da empresa,2,1,1,4,1
Pedir comprovante de imposto de renda da empresa só para ter certeza,5,8,7,8,7
Mudar de país ilegalmente escondido num caminhão,2,3,2,3,2
Tirar o visto e imigrar de forma legal e planejada,7,9,8,9,9
Trabalhar como lavador de pratos no exterior para juntar dinheiro,7,8,8,9,9
Menosprezar o trabalho braçal de outras pessoas,3,1,1,4,1
Valorizar profissionais de limpeza deixando caixinhas de Natal,6,9,9,6,9
Mandar e-mail de agradecimento para um professor de anos atrás,6,10,9,6,9
Ler livros infantis para idosos num asilo,7,10,10,6,10
Contar piadas em asilos vestido de palhaço,7,10,10,6,10
Ser rude com crianças que brincam fazendo barulho no parque,3,2,2,4,2
Lembrar que crianças fazem barulho e ter tolerância,6,9,8,6,8
Comprar um drone para filmar o próprio casamento de cima,5,7,6,6,6
Pilotar o drone e prender na árvore no primeiro dia,4,4,4,5,4
Fazer seguro para os equipamentos de tecnologia caros,6,8,7,8,7
Fazer curso de primeiros socorros e RCP (Reanimação),8,9,9,7,10
Ficar olhando um acidente sem saber o que fazer,4,4,4,5,4
Tentar fazer massagem cardíaca apenas vendo vídeos no YouTube,6,6,6,6,8
Saber usar um extintor de incêndio na prática,8,9,9,7,9
Brincar com o extintor de incêndio do prédio atoa,2,1,1,3,1
Testar os alarmes de incêndio de casa todo mês,7,8,8,6,8
Desligar o alarme de incêndio de casa porque o barulho irrita,2,2,2,4,2
Mudar os móveis da sala de madrugada para renovar a energia,6,8,6,7,7
Fazer reformas no apartamento e respeitar os horários do condomínio,6,8,8,6,7
Usar furadeira domingo 7h da manhã,3,1,2,4,2
Bater martelo na parede para tentar pregar quadro e destruir o reboco,4,3,4,5,4
Usar fita dupla face de alta fixação para não furar a parede,6,8,6,6,6
